Birthplace,Country,NbJoueurs,latitude,longitude
"Pickering, ON, Canada",Canada,4,43.835765,-79.090576
"Pisek, Czech Republic",Czech Republic,4,49.3089887,14.147769
"Portage La Prairie, MB, Canada",Canada,4,49.972422,-98.289185
"Powell River, BC, Canada",Canada,4,49.835676,-124.524412
"Presov, Slovakia",Slovakia,4,49.0000074,21.2392122
"Raleigh, NC, USA",USA,4,35.7803977,-78.6390989
"Rockland, ON, Canada",Canada,4,45.5485795,-75.2915629
"Rocky Mountain House, AB, Canada",Canada,4,52.3768803,-114.9183995
"Rossland, BC, Canada",Canada,4,49.0784756,-117.7999026
"Royal Oak, MI, USA",USA,4,42.4894801,-83.1446485
"Saint-Jerome, QC, Canada",Canada,4,45.7780402,-74.0033272
"Sainte-Foy, QC, Canada",Canada,4,46.7743268,-71.2994438
"Salt Lake City, UT, USA",USA,4,40.7596198,-111.886797
"Sault Ste. Marie, MI, USA",USA,4,46.4976734,-84.3476583
"Savonlinna, Finland",Finland,4,61.8699236,28.8800088
"Scottsdale, AZ, USA",USA,4,33.4942189,-111.926018
"Sept-Iles, QC, Canada",Canada,4,50.2109579,-66.3790642
"Sicamous, BC, Canada",Canada,4,50.8367991,-118.9826386
"Smithers, BC, Canada",Canada,4,54.7792074,-127.1760991
"Smiths Falls, ON, Canada",Canada,4,44.9013316,-76.0212062
"Smithtown, NY, USA",USA,4,40.8559314,-73.2006687
"Steinbach, MB, Canada",Canada,4,49.5254414,-96.6854275
"Stettler, AB, Canada",Canada,4,52.3228746,-112.71302
"Stillwater, MN, USA",USA,4,45.0559126,-92.807572
"Sturgeon Falls, ON, Canada",Canada,4,46.3653409,-79.9321566
"Sverdlovsk, Russia",Russia,4,56.8382071,60.6007886
"Thorold, ON, Canada",Canada,4,43.1249127,-79.2005935
"Toledo, OH, USA",USA,4,41.6529143,-83.5378173
"Trebic, Czech Republic",Czech Republic,4,49.2158752,15.8810841
"Truro, NS, Canada",Canada,4,45.3656974,-63.2864971
"Tver, Russia",Russia,4,56.858675,35.9208284
"Wainwright, AB, Canada",Canada,4,52.8402725,-110.8514344
"Wakaw, SK, Canada",Canada,4,52.6499347,-105.735836
"Warroad, MN, USA",USA,4,48.905266,-95.314404
"Westlock, AB, Canada",Canada,4,54.1525241,-113.8519902
"White Bear Lake, MN, USA",USA,4,45.0838098,-93.0069304
"White Rock, BC, Canada",Canada,4,49.0235357,-122.797924
"Winkler, MB, Canada",Canada,4,49.187089,-97.937622
"Abington, PA, USA",USA,3,40.114354,-75.1216878
"Alliston, ON, Canada",Canada,3,44.1539369,-79.8692321
